Log Start
Array
(
    [0] => 20/03/2017:10:49:07,logger, created, logfile:  log_1490024946731.txt

    [1] => 20/03/2017:10:49:07,ui, loaded, http://localhost/GESMO/models/music_note.obj

    [2] => 20/03/2017:10:49:07,ui, loaded, http://localhost/GESMO/models/record.obj

    [3] => 20/03/2017:10:49:07,ui, loaded, http://localhost/GESMO/models/10.obj

    [4] => 20/03/2017:10:49:07,ui, loaded, http://localhost/GESMO/models/guitar.obj

    [5] => 20/03/2017:10:49:07,ui, loaded, http://localhost/GESMO/fonts/droid/droid_serif_regular.typeface.json

    [6] => 20/03/2017:10:49:07,ui, complete, setup

    [7] => 20/03/2017:10:49:11,ui, complete, start

    [8] => 20/03/2017:10:49:15,ui, complete, home

    [9] => 20/03/2017:10:49:15,datacontroller, sending request to, (http://localhost/Gesmo/newReleases.php?mostRecent=30) 

    [10] => 20/03/2017:10:49:15,gesture, grab, made to start application

    [11] => 20/03/2017:10:49:15,datacontroller, request success, status

    [12] => 20/03/2017:10:49:17,ui, loaded, albums list

    [13] => 20/03/2017:10:49:17,gesture, grab, made to play

    [14] => 20/03/2017:10:49:22,datacontroller, sending request to, (http://localhost/Gesmo/Songalbum.php?album_id=14) 

    [15] => 20/03/2017:10:49:22,ui, clicked, albums: Kygo

    [16] => 20/03/2017:10:49:22,gesture, pinch, made

    [17] => 20/03/2017:10:49:22,datacontroller, request success, status

    [18] => 20/03/2017:10:49:22,ui, loaded, songs list

    [19] => 20/03/2017:10:49:22,gesture, pinch, made

)
